,text,n_tokens
1,Herramientas de Inteligencia  Artific ial,13
2,Lexica ,3
3,https://lexica.art/ ,7
4,Es una Base de datos de imágenes creadas con inteligencia artificial,13
5,para saber que información se le entregó a la IA para poder llegar al,15
6,resultado. ,3
7,Lexica esta disponible para todo el mundo y funciona como cualquier,12
8,"otro buscador, solamente debes introducir el término o frase que desees",19
9,"y este te mostrará una serie de resultados. En este caso, serán",16
10,imágenes creadas con Dreamstudio cuya descripción contenga esas,15
11,palabras. Puedes seleccionar si prefieres ver los result ados de,17
12,búsqueda en una disposición de cuadrícula o de listado. ,17
13,Más Información ,5
15,Meta Demo Lab ,4
16,https://sketch.metademolab.com/ ,11
17,Ver video ,3
18,Meta Demo Lab es una inteligencia artificial que en unos segundos,12
19,puede transformar cualquier dibujo en un personaje animado. ,16
21,Copy ,2
22,https://www.copy.ai/ ,7
23,Es una herramienta basada en la inteligencia artificial (IA) que permite a,17
24,los usuarios crear textos o artículos con un estilo de escritura natural.,16
25,Utiliza el aprendizaje automático para aprender de los textos existentes,16
26,y luego utilizar ese cono cimiento para crear otros nuevos. ,14
27, ,1
